b,fc,d,fy,r,M
127,30.55,216,421,3.01,46.364
127,38.97,216,421,3.01,47.417
127,44.62,216,421,3.01,48.034
127,82.34,198,421,5.54,85.983
127,85.79,198,421,5.54,86.295
127,89.31,198,421,5.54,86.6
127,88.21,198,421,5.54,86.507
127,86.97,198,421,5.54,86.399
127,82.97,198,421,5.54,86.042
150,51.1,230,410,2.32,70.29
150,90.1,230,410,4.64,138.097
150,85.6,230,410,4.64,137.535
235,52.7,360,409,2.36,274.623
235,54.1,360,404,2.36,271.978
235,90.3,360,402,4.73,529.947
235,73.4,360,402,4.73,520.729
335,54.2,515,409,2.32,788.276
335,43.8,515,409,2.32,776.161
170,86.14,265,437,1.52,76.844
170,86.14,265,437,1.52,76.844
200,48.61,215,530,1.31,55.583
200,48.61,215,530,1.9,80.813
200,48.61,215,530,2.5,105.074
200,78.5,215,530,1.31,62.204
200,78.5,215,530,1.9,83.21
200,78.5,215,530,2.5,108.809
200,102.4,215,530,1.31,62.654
200,102.4,215,530,1.9,89.622
200,102.4,215,530,2.5,110.474
510,22,506.9,440,1.24,383.472
307.34,24.06,466.09,555,1.98,608.606
304.08,24.27,464.06,555,2.47,716.415
307.34,35.03,466.09,552,2.88,875.451
231.14,24.75,461.01,555,2.66,570.365
228.6,23.17,465.58,555,2.66,566.569
228.6,38.75,460.5,552,3.31,722.11
154.94,29.58,463.55,555,2.16,296.541
152.4,23.79,464.31,555,4.01,482.48
154.94,35.03,458.72,555,3.99,548.085
203.2,28.13,254,330.94,3.07,78.692
203.2,32.27,254,313.02,3.94,76.373
203.2,26.89,254,323.36,3.94,76.719
152.4,30.4,254,313.02,5.26,73.086
152.4,34.47,254,334.39,1.34,41.499
203.2,31.03,355.6,324.74,2.2,111.913
203.2,33.09,355.6,314.4,2.82,109.447
203.2,30.2,355.6,315.78,2.82,108.931
203.2,34.47,457.2,310.95,1.71,140.782
203.2,35.58,457.2,318.54,2.2,144.479
203.2,30.47,457.2,318.54,2.2,142.83
203.2,33.99,254,328.19,1.97,79.044
203.2,28.34,254,323.36,1.97,76.875
203.2,24.75,355.6,310.95,1.41,105.923
203.2,26.89,355.6,315.78,1.41,107.547
203.2,33.23,457.2,309.57,1.1,138.794
203.2,28.89,457.2,324.05,1.1,144.183
203.2,29.99,457.2,328.19,1.1,146.183
150,32.5,133,467,2.26,13.223
150,29.8,123,467,2.44,12.336
150,30.15,113,467,2.66,11.996
120,78.4,127,400,3.01,21.531
120,74.3,127,400,3.01,21.467
120,72.8,127,400,3.01,21.443
203,24.7,390,321,3.1,266.239
203,23.7,390,321,3.1,264.494
203,23.4,390,321,3.1,263.942
203,24.8,390,321,3.1,266.406
203,23.4,390,321,3.1,263.942
203,25.4,390,321,3.1,264.466
203,23.7,390,321,3.1,264.494
203,23.3,390,321,3.1,263.754
203,24.6,390,321,3.1,266.071
203,23.2,390,321,3.1,263.565
203,26.3,390,321,3.1,265.927
203,24.9,390,321,3.1,266.571
203,42.1,390,321,3.1,281.157
203,25.7,390,321,2.07,186.116
203,26.3,390,321,2.07,186.544
203,29,390,321,2.07,188.239
203,23.7,390,321,2.07,185.907
203,25,390,321,2.07,185.589
203,24.1,390,321,2.07,186.225
203,27,390,321,2.07,187.017
203,14.1,390,321,2.07,172.865
203,13.8,390,321,2.07,172.165
203,13.9,390,321,2.07,172.402
203,24.5,390,321,3.1,265.901
203,45.2,390,321,3.1,282.882
203,44.7,390,321,3.1,282.62
203,47.6,390,321,3.1,284.065
203,26.2,390,335,1.63,155.983
203,26.1,390,335,1.63,155.935
203,24.6,390,335,1.63,156.073
203,24,390,335,1.63,155.761
203,25.9,390,335,1.63,155.839
203,24.8,390,335,1.63,156.173
203,24.5,390,335,1.63,156.022
203,28.2,390,335,2.44,226.53
203,23.1,390,335,1.63,155.263
152,27.7,315,321,3.42,142.127
152,27.8,315,321,3.42,142.21
152,30.2,315,321,3.42,144.031
152,29.5,315,321,3.42,143.532
152,28.4,315,321,3.42,142.696
152,26.1,315,321,3.42,140.708
152,27.4,315,321,3.42,141.875
152,25.7,315,321,3.42,140.324
152,22.1,315,321,3.42,138.193
152,27.7,315,321,3.42,142.127
152,29,315,321,3.42,143.16
152,27.1,315,321,3.42,141.616
100,22.7,175,250,4.6,16.138
250,26.13,315,261.35,2.9,89.017
140,40,210,435,1.93,47.864
140,60,210,435,1.93,49.096
140,75,210,450,2.59,67.505
250,40,300,395,0.21,18.465
250,40,300,413,0.35,32.455
140,40,210,435,1.93,47.864
140,60,210,435,1.93,49.096
250,75,300,413,0.35,32.641
250,75,300,413,0.53,48.775
140,75,210,435,2.59,65.394
140,40,210,418,1.37,33.461
140,40,210,435,1.93,47.864
140,40,210,450,2.59,64.273
140,40,195,435,4.15,80.454
140,60,210,435,1.93,49.096
140,71,210,435,1.93,49.44
140,71,210,450,2.59,67.305
140,71,195,435,4.15,86.759
140,75,195,450,5.57,116.063
140,40,210,450,3.12,64.326
140,40,210,450,3.49,64.345
140,75,195,435,5.01,87.679
140,75,195,435,5.54,87.836
140,40,210,435,1.93,47.844
140,60,210,435,1.93,49.074
140,75,210,450,2.59,67.482
250,40,300,395,0.21,18.465
250,40,300,413,0.35,32.448
140,40,210,435,1.93,47.844
140,60,210,435,1.93,49.074
250,75,300,413,0.35,32.634
250,75,300,413,0.53,48.763
140,75,210,450,2.59,67.482
140,40,210,418,1.37,33.461
140,40,210,435,1.93,47.844
140,40,210,450,2.59,64.253
140,40,195,435,4.15,80.425
140,60,210,435,1.93,49.074
140,71,210,435,1.93,49.419
140,71,210,450,2.59,67.282
140,71,195,435,4.15,86.724
140,75,195,450,5.57,116.029
250,31.87,315,453.17,2.9,151.356
250,31.87,315,801.01,1.54,141.933
152,38.5,254,394,2.64,91.934
152,34.8,254,394,2.64,90.922
152,38,254,394,2.64,91.809
152,39,254,394,2.64,92.056
152,39.5,254,394,2.64,92.175
254,37.3,456,386,2.23,416.31
